respondent_id,first_name,last_name,email,segment,age,city,purchase_frequency_per_month,monthly_beverage_spend_eur,price_sensitivity_1_10,preferred_channel,aware_pulsup,aware_matelibre,aware_voltfit,aware_rootandrise,lumen_purchase_intent_1_10
19,Jonas,Koch,jonas.koch19@example.com,Students & Budget-Conscious,23,Other Germany,8.6,26.55,7.8,Gym & Office,1,0,0,0,7.4
20,Emma,Schwarz,emma.schwarz20@example.com,On-the-go Commuters,32,Munich,10.1,26.03,4.8,DTC Online,1,0,0,0,7.2
21,Sofia,Schmidt,sofia.schmidt21@example.com,Students & Budget-Conscious,20,Berlin,5.8,14.56,9.1,DTC Online,1,1,0,0,3.5
22,Leon,Schulz,leon.schulz22@example.com,Fitness & Gym-Goers,18,Cologne,7.0,17.96,5.2,Gym & Office,0,0,1,0,6.9
23,Leon,Becker,leon.becker23@example.com,Urban Wellness Professionals,37,Other Germany,9.7,14.89,4.2,DTC Online,0,1,0,1,10
24,Marie,Braun,marie.braun24@example.com,Students & Budget-Conscious,24,Frankfurt,7.0,8.69,6.2,Gym & Office,1,0,1,0,6.3
25,Ben,Klein,ben.klein25@example.com,Fitness & Gym-Goers,20,Other Germany,7.5,24.6,5.6,Gym & Office,0,1,1,0,8.0
26,Clara,Koch,clara.koch26@example.com,Students & Budget-Conscious,23,Hamburg,6.8,24.42,9.2,Gym & Office,1,1,0,0,2.8
27,Finn,Braun,finn.braun27@example.com,Urban Wellness Professionals,32,Other Germany,8.4,14.17,4.5,DTC Online,0,1,0,0,8.7
28,Felix,Braun,felix.braun28@example.com,Urban Wellness Professionals,39,Other Germany,8.8,16.61,3.4,DTC Online,0,1,1,1,7.8
29,Mia,Becker,mia.becker29@example.com,Students & Budget-Conscious,20,Other Germany,6.2,18.21,8.7,Retail/Grocery,1,1,1,0,5.8
30,Ida,Schwarz,ida.schwarz30@example.com,Urban Wellness Professionals,25,Other Germany,9.2,24.81,1,Gym & Office,0,0,0,0,10
31,Jonas,Krueger,jonas.krueger31@example.com,On-the-go Commuters,40,Munich,5.7,15.29,7.2,Retail/Grocery,1,1,0,1,4.6
32,Jonas,Becker,jonas.becker32@example.com,Urban Wellness Professionals,25,Berlin,6.0,21.92,4.1,DTC Online,1,0,1,0,10
33,Leon,Schmidt,leon.schmidt33@example.com,Urban Wellness Professionals,27,Cologne,6.6,15.28,4.7,Retail/Grocery,0,0,1,1,6.9
34,Finn,Schulz,finn.schulz34@example.com,Students & Budget-Conscious,19,Cologne,5.8,12.64,7.0,Gym & Office,1,0,1,0,7.5
35,Clara,Schwarz,clara.schwarz35@example.com,Fitness & Gym-Goers,27,Frankfurt,5.4,9.71,6.3,Gym & Office,0,0,1,0,5.9
36,Paul,Peters,paul.peters36@example.com,On-the-go Commuters,43,Other Germany,7.4,15.66,4.9,Gym & Office,0,1,0,0,7.3
37,Noah,Lange,noah.lange37@example.com,On-the-go Commuters,47,Berlin,5.2,20.87,7.0,Retail/Grocery,1,0,1,0,4.4
38,Lina,Koch,lina.koch38@example.com,On-the-go Commuters,27,Munich,3.4,16.93,6.0,Retail/Grocery,1,1,0,0,5.5
39,Sofia,Peters,sofia.peters39@example.com,Students & Budget-Conscious,22,Other Germany,4.3,22.22,10,Retail/Grocery,1,0,0,0,5.4
40,Clara,Koch,clara.koch40@example.com,On-the-go Commuters,27,Munich,8.8,13.16,5.4,Retail/Grocery,0,1,0,0,7.4
41,Marie,Wagner,marie.wagner41@example.com,Students & Budget-Conscious,18,Other Germany,0.5,15.5,7.9,DTC Online,1,0,0,0,4.6
42,Paul,Hoffmann,paul.hoffmann42@example.com,On-the-go Commuters,31,Munich,9.3,21.86,5.3,Retail/Grocery,1,0,0,0,7.4
43,Felix,Krueger,felix.krueger43@example.com,Students & Budget-Conscious,18,Frankfurt,5.9,31.46,7.2,Retail/Grocery,1,1,1,0,7.0
44,Elias,Fischer,elias.fischer44@example.com,Students & Budget-Conscious,19,Other Germany,4.6,16.56,8.7,Gym & Office,1,1,0,0,2.9
45,Max,Schmidt,max.schmidt45@example.com,On-the-go Commuters,38,Munich,4.7,25.72,4.4,Retail/Grocery,1,1,1,1,7.3
46,Felix,Klein,felix.klein46@example.com,Students & Budget-Conscious,21,Other Germany,4.8,12.97,9.0,Retail/Grocery,1,1,0,0,7.7
47,Leon,Koch,leon.koch47@example.com,On-the-go Commuters,31,Hamburg,3.4,23.05,4.3,Retail/Grocery,1,0,0,0,7.2
48,Clara,Richter,clara.richter48@example.com,Students & Budget-Conscious,23,Munich,5.7,20.4,6.5,Retail/Grocery,1,1,1,0,6.5
49,Anna,Richter,anna.richter49@example.com,On-the-go Commuters,43,Frankfurt,5.4,25.69,4.0,Retail/Grocery,1,0,0,0,9.5
50,Marie,Wolf,marie.wolf50@example.com,On-the-go Commuters,40,Hamburg,3.1,16.84,4.8,Retail/Grocery,0,0,0,0,9.4
51,Clara,Lange,clara.lange51@example.com,Urban Wellness Professionals,35,Berlin,7.2,27.65,3.5,DTC Online,0,0,1,1,8.5
52,Elias,Braun,elias.braun52@example.com,Students & Budget-Conscious,20,Frankfurt,2.9,23.58,9.1,Gym & Office,1,1,1,0,5.1
53,Lina,Wagner,lina.wagner53@example.com,Students & Budget-Conscious,24,Other Germany,4.3,22.05,7.5,DTC Online,1,1,0,0,5.2
54,Nora,Becker,nora.becker54@example.com,Students & Budget-Conscious,19,Other Germany,3.4,17.37,8.7,Gym & Office,1,0,1,0,3.5
55,Lina,Peters,lina.peters55@example.com,Fitness & Gym-Goers,33,Other Germany,7.0,22.45,4.3,DTC Online,0,0,1,0,7.2
56,Felix,Schwarz,felix.schwarz56@example.com,On-the-go Commuters,38,Berlin,8.6,28.82,4.6,Retail/Grocery,1,0,0,0,3.7
57,Lina,Weber,lina.weber57@example.com,On-the-go Commuters,39,Berlin,4.1,17.92,5.8,Retail/Grocery,0,1,0,0,6.1
58,Clara,Wolf,clara.wolf58@example.com,On-the-go Commuters,46,Other Germany,4.0,14.79,4.1,DTC Online,1,0,1,0,8.0
59,Finn,Braun,finn.braun59@example.com,Students & Budget-Conscious,18,Other Germany,6.2,21.19,8.6,Retail/Grocery,1,1,1,0,5.3
60,Mia,Schwarz,mia.schwarz60@example.com,Fitness & Gym-Goers,23,Berlin,5.6,24.13,4.8,Gym & Office,1,1,1,0,7.9
61,Mia,Braun,mia.braun61@example.com,On-the-go Commuters,46,Frankfurt,2.2,9.9,9.6,DTC Online,1,1,0,0,8.2
62,Ida,Klein,ida.klein62@example.com,Students & Budget-Conscious,21,Frankfurt,4.4,23.97,9.1,Retail/Grocery,1,0,0,1,4.4
63,Elias,Koch,elias.koch63@example.com,Fitness & Gym-Goers,33,Other Germany,5.5,16.1,4.6,Retail/Grocery,0,0,0,0,6.9
64,Lina,Schmidt,lina.schmidt64@example.com,On-the-go Commuters,45,Berlin,5.4,26.49,4.1,DTC Online,1,1,0,0,8.5
65,Sofia,Krueger,sofia.krueger65@example.com,Urban Wellness Professionals,33,Other Germany,6.4,29.0,4.6,DTC Online,1,0,1,0,7.1
66,Leon,Neumann,leon.neumann66@example.com,Fitness & Gym-Goers,30,Other Germany,6.8,18.48,6.6,Gym & Office,0,1,1,0,8.0
67,Max,Peters,max.peters67@example.com,Urban Wellness Professionals,32,Cologne,10.1,19.11,2.7,DTC Online,0,0,1,1,8.5
68,Ben,Peters,ben.peters68@example.com,Students & Budget-Conscious,21,Berlin,6.2,10.8,8.9,Gym & Office,1,0,1,0,2.7
69,Sofia,Schmidt,sofia.schmidt69@example.com,Students & Budget-Conscious,21,Other Germany,3.8,13.08,7.7,Retail/Grocery,0,1,0,0,6.0
70,Finn,Braun,finn.braun70@example.com,Students & Budget-Conscious,20,Munich,5.4,5.46,8.8,Retail/Grocery,1,0,0,0,1.9
71,Emma,Koch,emma.koch71@example.com,On-the-go Commuters,42,Munich,7.1,20.39,5.7,Gym & Office,1,1,1,1,6.8
72,Paul,Koch,paul.koch72@example.com,Fitness & Gym-Goers,18,Berlin,6.2,20.28,5.3,Gym & Office,1,1,1,0,8.8
73,Max,Schmidt,max.schmidt73@example.com,Fitness & Gym-Goers,32,Cologne,2.1,18.11,5.1,Retail/Grocery,1,0,0,0,7.1
74,Mia,Fischer,mia.fischer74@example.com,Students & Budget-Conscious,23,Other Germany,6.2,23.11,7.7,DTC Online,1,1,0,0,7.1
75,Finn,Peters,finn.peters75@example.com,Urban Wellness Professionals,38,Berlin,6.0,19.26,3.3,DTC Online,0,1,1,1,10
76,Felix,Fischer,felix.fischer76@example.com,Fitness & Gym-Goers,29,Other Germany,6.5,10.58,6.0,Gym & Office,1,1,0,0,8.6
77,Jonas,Schmidt,jonas.schmidt77@example.com,Fitness & Gym-Goers,31,Hamburg,4.9,13.22,7.2,Gym & Office,0,1,1,0,8.5
78,Jonas,Peters,jonas.peters78@example.com,Urban Wellness Professionals,33,Frankfurt,5.5,13.23,5.9,DTC Online,0,0,1,1,6.9
79,Paul,Weber,paul.weber79@example.com,Fitness & Gym-Goers,27,Other Germany,7.1,18.63,5.8,Retail/Grocery,0,1,1,0,7.2
80,Marie,Fischer,marie.fischer80@example.com,Urban Wellness Professionals,30,Hamburg,6.2,22.31,4.1,DTC Online,0,1,0,1,8.9
81,Jonas,Wagner,jonas.wagner81@example.com,Students & Budget-Conscious,22,Berlin,8.1,8.49,7.6,Retail/Grocery,1,0,1,0,5.8
82,Elias,Wolf,elias.wolf82@example.com,Students & Budget-Conscious,19,Other Germany,6.1,12.4,9.1,Retail/Grocery,1,0,0,0,5.1
83,Lina,Fischer,lina.fischer83@example.com,Urban Wellness Professionals,26,Cologne,4.7,13.11,4.6,DTC Online,1,1,1,0,8.0
84,Finn,Koch,finn.koch84@example.com,Fitness & Gym-Goers,29,Berlin,7.6,32.66,4.3,Retail/Grocery,1,0,1,0,10
85,Paul,Neumann,paul.neumann85@example.com,Urban Wellness Professionals,31,Other Germany,3.7,25.27,3.2,DTC Online,1,0,0,0,8.9
86,Lina,Braun,lina.braun86@example.com,Students & Budget-Conscious,24,Other Germany,1.8,7.37,6.9,Retail/Grocery,0,1,0,0,2.6
87,Paul,Lange,paul.lange87@example.com,Fitness & Gym-Goers,26,Frankfurt,6.6,24.08,6.8,Gym & Office,0,0,1,0,7.5
88,Ida,Schulz,ida.schulz88@example.com,Urban Wellness Professionals,26,Cologne,9.6,25.19,2.9,DTC Online,0,1,0,1,10
89,Lina,Lange,lina.lange89@example.com,Students & Budget-Conscious,19,Other Germany,5.2,14.51,7.2,Retail/Grocery,1,0,0,0,6.8
90,Clara,Klein,clara.klein90@example.com,Students & Budget-Conscious,18,Frankfurt,8.9,24.75,8.0,Retail/Grocery,1,0,0,0,4.9
91,Mia,Klein,mia.klein91@example.com,Fitness & Gym-Goers,30,Berlin,6.1,21.19,3.8,Retail/Grocery,0,0,0,1,9.6
92,Paul,Klein,paul.klein92@example.com,Fitness & Gym-Goers,34,Hamburg,7.3,26.29,5.9,Gym & Office,1,1,0,1,7.1
93,Lukas,Wolf,lukas.wolf93@example.com,On-the-go Commuters,48,Other Germany,3.4,14.94,7.3,Retail/Grocery,1,0,0,0,5.4
94,Ben,Braun,ben.braun94@example.com,Students & Budget-Conscious,20,Other Germany,3.7,20.1,6.3,Retail/Grocery,0,0,0,0,5.3
95,Elias,Schwarz,elias.schwarz95@example.com,Fitness & Gym-Goers,32,Cologne,6.9,24.36,4.1,Retail/Grocery,0,1,1,0,9.6
96,Finn,Klein,finn.klein96@example.com,On-the-go Commuters,47,Other Germany,6.2,11.78,6.7,Gym & Office,1,0,0,0,6.8
97,Nora,Neumann,nora.neumann97@example.com,On-the-go Commuters,38,Berlin,12.2,18.03,6.4,Gym & Office,0,0,0,1,6.7
98,Lea,Krueger,lea.krueger98@example.com,Students & Budget-Conscious,24,Cologne,5.1,20.99,7.9,Gym & Office,1,0,0,0,6.0
99,Ben,Zimmermann,ben.zimmermann99@example.com,Students & Budget-Conscious,20,Berlin,3.5,29.02,6.8,Retail/Grocery,1,0,0,0,7.2
100,Ben,Zimmermann,ben.zimmermann100@example.com,Students & Budget-Conscious,18,Other Germany,7.4,10.21,8.7,Gym & Office,1,0,0,1,4.8
101,Paul,Richter,paul.richter101@example.com,On-the-go Commuters,26,Other Germany,4.1,23.66,6.0,DTC Online,1,0,0,1,7.2
102,Noah,Braun,noah.braun102@example.com,Urban Wellness Professionals,35,Other Germany,6.2,22.33,5.0,Retail/Grocery,0,1,1,0,9.5
103,Nora,Schwarz,nora.schwarz103@example.com,On-the-go Commuters,35,Other Germany,5.0,17.15,7.6,Retail/Grocery,1,0,0,0,8.2
104,Clara,Braun,clara.braun104@example.com,Students & Budget-Conscious,20,Cologne,3.3,22.33,9.0,Retail/Grocery,0,1,0,0,4.5
105,Noah,Peters,noah.peters105@example.com,Students & Budget-Conscious,22,Other Germany,6.0,14.72,7.8,Retail/Grocery,1,1,0,0,6.6
106,Jonas,Richter,jonas.richter106@example.com,Fitness & Gym-Goers,29,Other Germany,4.3,30.77,4.0,Gym & Office,1,0,1,1,9.6
107,Lukas,Becker,lukas.becker107@example.com,On-the-go Commuters,46,Other Germany,6.4,12.72,8.1,Retail/Grocery,1,0,0,0,6.5
108,Clara,Wolf,clara.wolf108@example.com,Fitness & Gym-Goers,22,Frankfurt,5.3,28.54,4.9,Gym & Office,1,0,1,1,9.9
109,Felix,Schulz,felix.schulz109@example.com,Urban Wellness Professionals,34,Other Germany,9.1,8.32,5.3,DTC Online,1,0,0,1,9.6
110,Elias,Klein,elias.klein110@example.com,Urban Wellness Professionals,27,Frankfurt,4.1,29.09,4.7,Retail/Grocery,0,1,1,1,8.0
111,Ida,Neumann,ida.neumann111@example.com,On-the-go Commuters,25,Hamburg,9.0,33.18,2.4,Retail/Grocery,1,0,0,0,10
112,Marie,Fischer,marie.fischer112@example.com,Urban Wellness Professionals,27,Berlin,9.1,18.87,1.6,Retail/Grocery,0,1,0,1,10
113,Nora,Becker,nora.becker113@example.com,On-the-go Commuters,26,Other Germany,7.3,23.95,5.7,Gym & Office,1,1,1,1,6.5
114,Elias,Peters,elias.peters114@example.com,On-the-go Commuters,33,Berlin,6.8,10.87,7.5,Retail/Grocery,1,0,1,0,4.7
115,Lukas,Richter,lukas.richter115@example.com,Students & Budget-Conscious,24,Berlin,2.9,11.2,6.7,Retail/Grocery,1,1,0,0,7.3
116,Lina,Fischer,lina.fischer116@example.com,On-the-go Commuters,46,Hamburg,5.1,14.24,5.7,Retail/Grocery,1,0,1,0,7.7
117,Paul,Lange,paul.lange117@example.com,Urban Wellness Professionals,37,Berlin,7.1,20.01,2.4,DTC Online,1,1,1,0,10
118,Marie,Wolf,marie.wolf118@example.com,Students & Budget-Conscious,24,Other Germany,5.9,23.11,8.3,Gym & Office,1,1,0,0,5.2
119,Lukas,Klein,lukas.klein119@example.com,Students & Budget-Conscious,22,Hamburg,6.5,16.75,5.3,Retail/Grocery,1,1,0,0,5.6
120,Lukas,Peters,lukas.peters120@example.com,Fitness & Gym-Goers,29,Berlin,8.3,25.82,6.1,Retail/Grocery,1,0,1,1,8.3
121,Marie,Peters,marie.peters121@example.com,On-the-go Commuters,37,Hamburg,3.7,19.05,8.0,Retail/Grocery,1,1,1,0,7.2
122,Max,Wolf,max.wolf122@example.com,Urban Wellness Professionals,29,Munich,11.4,19.82,5.6,DTC Online,0,0,0,1,7.2
123,Finn,Zimmermann,finn.zimmermann123@example.com,On-the-go Commuters,36,Hamburg,5.2,20.99,4.0,Retail/Grocery,1,0,0,0,5.6
124,Noah,Lange,noah.lange124@example.com,Fitness & Gym-Goers,19,Frankfurt,4.8,23.82,4.3,Retail/Grocery,1,0,1,1,7.9
125,Emma,Zimmermann,emma.zimmermann125@example.com,Urban Wellness Professionals,29,Hamburg,8.1,14.15,1.7,Retail/Grocery,0,0,0,0,10
126,Noah,Braun,noah.braun126@example.com,Urban Wellness Professionals,37,Munich,5.8,15.41,4.5,Retail/Grocery,0,0,0,1,10
127,Elias,Klein,elias.klein127@example.com,Students & Budget-Conscious,22,Munich,2.4,10.8,7.4,DTC Online,0,0,1,0,5.9
128,Lea,Klein,lea.klein128@example.com,Urban Wellness Professionals,37,Other Germany,7.0,30.74,6.6,Retail/Grocery,0,1,0,1,9.5
129,Max,Koch,max.koch129@example.com,Fitness & Gym-Goers,26,Berlin,9.2,11.77,5.6,Gym & Office,1,0,1,0,7.4
130,Noah,Zimmermann,noah.zimmermann130@example.com,Students & Budget-Conscious,22,Other Germany,2.4,10.3,6.5,Gym & Office,1,1,1,0,6.6
131,Lukas,Hoffmann,lukas.hoffmann131@example.com,Fitness & Gym-Goers,25,Frankfurt,9.2,24.87,3.3,DTC Online,0,1,1,0,9.1
132,Ida,Wagner,ida.wagner132@example.com,Students & Budget-Conscious,18,Berlin,3.7,7.02,9.1,Retail/Grocery,0,1,0,0,5.3
133,Lina,Richter,lina.richter133@example.com,On-the-go Commuters,35,Berlin,5.7,16.99,6.0,DTC Online,1,0,0,0,7.8
134,Finn,Hoffmann,finn.hoffmann134@example.com,Urban Wellness Professionals,35,Berlin,6.2,21.65,5.0,DTC Online,0,1,1,1,8.7
135,Ben,Schmidt,ben.schmidt135@example.com,Fitness & Gym-Goers,26,Other Germany,4.7,26.19,4.8,DTC Online,0,0,1,0,10
136,Ben,Becker,ben.becker136@example.com,On-the-go Commuters,36,Other Germany,7.0,27.35,4.6,DTC Online,0,0,0,0,7.4
137,Nora,Neumann,nora.neumann137@example.com,Fitness & Gym-Goers,20,Frankfurt,6.7,25.2,7.0,Retail/Grocery,0,1,1,0,7.7
138,Felix,Fischer,felix.fischer138@example.com,Students & Budget-Conscious,19,Other Germany,3.2,18.26,9.1,Retail/Grocery,1,0,0,0,5.0
139,Emma,Fischer,emma.fischer139@example.com,Students & Budget-Conscious,20,Other Germany,5.0,32.97,9.1,Gym & Office,1,0,1,0,6.6
140,Clara,Braun,clara.braun140@example.com,Fitness & Gym-Goers,31,Hamburg,2.1,11.19,7.4,Retail/Grocery,1,0,1,1,8.4
141,Ben,Weber,ben.weber141@example.com,Urban Wellness Professionals,29,Other Germany,1.7,13.66,3.6,DTC Online,1,1,1,1,10
142,Lukas,Zimmermann,lukas.zimmermann142@example.com,Students & Budget-Conscious,23,Other Germany,3.0,23.43,5.7,Retail/Grocery,1,1,0,0,6.1
143,Ben,Peters,ben.peters143@example.com,Students & Budget-Conscious,18,Hamburg,8.7,22.76,8.5,Retail/Grocery,1,0,1,0,5.7
144,Lea,Lange,lea.lange144@example.com,Fitness & Gym-Goers,28,Munich,7.8,33.58,5.7,DTC Online,0,0,1,0,9.1
145,Nora,Wolf,nora.wolf145@example.com,On-the-go Commuters,45,Other Germany,4.3,18.98,5.6,Retail/Grocery,1,1,0,1,7.8
146,Jonas,Peters,jonas.peters146@example.com,Urban Wellness Professionals,26,Frankfurt,7.5,24.75,2.2,DTC Online,0,1,1,0,10
147,Max,Schmidt,max.schmidt147@example.com,Students & Budget-Conscious,21,Other Germany,3.8,16.67,8.6,DTC Online,1,0,1,0,2.6
148,Finn,Krueger,finn.krueger148@example.com,Students & Budget-Conscious,19,Other Germany,2.6,12.69,9.7,Retail/Grocery,1,1,0,0,2.9
149,Felix,Braun,felix.braun149@example.com,Urban Wellness Professionals,36,Cologne,9.0,7.63,6.5,Gym & Office,1,1,0,1,8.4
150,Ida,Zimmermann,ida.zimmermann150@example.com,Students & Budget-Conscious,20,Frankfurt,6.4,18.06,7.8,Retail/Grocery,1,0,1,0,7.5
151,Paul,Hoffmann,paul.hoffmann151@example.com,Urban Wellness Professionals,40,Cologne,8.7,26.77,4.5,Gym & Office,0,0,0,1,10
152,Jonas,Becker,jonas.becker152@example.com,On-the-go Commuters,26,Other Germany,4.5,18.68,6.5,Retail/Grocery,1,0,0,0,6.2
153,Leon,Peters,leon.peters153@example.com,Urban Wellness Professionals,40,Berlin,7.5,22.09,3.3,DTC Online,0,0,1,0,8.0
154,Ben,Schulz,ben.schulz154@example.com,Students & Budget-Conscious,18,Frankfurt,4.3,11.26,7.3,Retail/Grocery,0,1,1,0,7.9
155,Lukas,Fischer,lukas.fischer155@example.com,Students & Budget-Conscious,24,Other Germany,6.6,9.76,7.0,DTC Online,1,0,0,0,6.3
156,Lukas,Koch,lukas.koch156@example.com,On-the-go Commuters,28,Other Germany,9.6,23.94,6.6,Retail/Grocery,1,0,0,0,5.2
157,Emma,Becker,emma.becker157@example.com,Students & Budget-Conscious,24,Munich,1.8,14.87,8.0,Retail/Grocery,1,0,0,0,5.8
158,Mia,Lange,mia.lange158@example.com,Urban Wellness Professionals,29,Other Germany,5.4,26.67,3.5,DTC Online,0,0,0,0,10
159,Lina,Krueger,lina.krueger159@example.com,Urban Wellness Professionals,33,Other Germany,9.7,20.09,3.7,Retail/Grocery,1,0,1,1,10
160,Lea,Schwarz,lea.schwarz160@example.com,Students & Budget-Conscious,20,Berlin,6.0,22.37,7.7,Retail/Grocery,1,1,1,0,5.6
161,Mia,Neumann,mia.neumann161@example.com,Fitness & Gym-Goers,31,Berlin,6.2,25.25,3.8,Gym & Office,1,0,1,0,6.0
162,Noah,Schwarz,noah.schwarz162@example.com,On-the-go Commuters,32,Frankfurt,7.1,18.51,6.5,Retail/Grocery,1,1,0,0,7.2
163,Max,Schulz,max.schulz163@example.com,On-the-go Commuters,48,Other Germany,6.6,26.6,5.3,Gym & Office,1,0,0,0,7.2
164,Lea,Klein,lea.klein164@example.com,On-the-go Commuters,45,Other Germany,11.1,23.14,4.6,Gym & Office,0,1,0,0,8.8
165,Sofia,Schwarz,sofia.schwarz165@example.com,Fitness & Gym-Goers,25,Munich,10.7,29.49,3.5,Gym & Office,0,1,1,0,10
166,Mia,Zimmermann,mia.zimmermann166@example.com,Students & Budget-Conscious,24,Munich,4.2,15.73,7.7,Retail/Grocery,1,1,0,0,6.7
167,Jonas,Peters,jonas.peters167@example.com,Fitness & Gym-Goers,35,Cologne,5.8,12.4,8.8,Retail/Grocery,0,1,1,0,3.3
168,Clara,Wolf,clara.wolf168@example.com,Students & Budget-Conscious,22,Berlin,3.9,19.61,9.3,Retail/Grocery,1,0,0,0,4.7
169,Anna,Krueger,anna.krueger169@example.com,Urban Wellness Professionals,29,Hamburg,8.0,24.45,4.6,Gym & Office,1,1,1,1,8.9
170,Lina,Wolf,lina.wolf170@example.com,Urban Wellness Professionals,40,Berlin,7.3,22.23,3.9,DTC Online,1,0,0,0,9.1
171,Jonas,Braun,jonas.braun171@example.com,Urban Wellness Professionals,30,Hamburg,9.2,26.26,3.7,DTC Online,1,0,1,1,10
172,Mia,Wagner,mia.wagner172@example.com,Urban Wellness Professionals,31,Munich,4.6,19.76,4.0,DTC Online,0,0,0,1,10
173,Paul,Neumann,paul.neumann173@example.com,Urban Wellness Professionals,37,Frankfurt,4.5,25.36,4.5,DTC Online,0,1,1,1,6.9
174,Lea,Lange,lea.lange174@example.com,Urban Wellness Professionals,30,Hamburg,9.6,19.31,2.2,DTC Online,0,0,0,1,9.8
175,Marie,Braun,marie.braun175@example.com,Students & Budget-Conscious,20,Berlin,3.2,26.05,6.1,Retail/Grocery,1,0,0,0,6.0
176,Mia,Weber,mia.weber176@example.com,Urban Wellness Professionals,39,Cologne,5.7,26.87,3.8,DTC Online,0,0,0,1,9.7
177,Leon,Neumann,leon.neumann177@example.com,Urban Wellness Professionals,28,Munich,7.4,26.45,1.4,DTC Online,0,0,0,1,9.3
178,Paul,Fischer,paul.fischer178@example.com,On-the-go Commuters,26,Cologne,10.3,25.77,2.1,Gym & Office,1,1,0,0,8.0
179,Emma,Schmidt,emma.schmidt179@example.com,Students & Budget-Conscious,19,Other Germany,4.6,15.77,6.6,Gym & Office,1,0,0,0,5.7
180,Jonas,Schmidt,jonas.schmidt180@example.com,On-the-go Commuters,28,Berlin,4.5,24.37,8.6,Retail/Grocery,0,0,0,0,7.3
181,Clara,Braun,clara.braun181@example.com,Urban Wellness Professionals,33,Other Germany,7.8,20.88,5.6,Retail/Grocery,0,0,1,1,6.9
182,Lina,Neumann,lina.neumann182@example.com,Fitness & Gym-Goers,20,Other Germany,2.7,5.73,6.9,DTC Online,1,0,1,0,9.4
183,Marie,Schmidt,marie.schmidt183@example.com,Students & Budget-Conscious,24,Cologne,4.9,14.98,9.7,Gym & Office,1,1,0,0,4.1
184,Elias,Hoffmann,elias.hoffmann184@example.com,On-the-go Commuters,29,Other Germany,2.1,21.66,7.9,Retail/Grocery,1,0,1,0,6.3
185,Mia,Wagner,mia.wagner185@example.com,Fitness & Gym-Goers,25,Hamburg,5.5,21.09,7.0,Retail/Grocery,1,0,0,0,7.8
186,Ben,Schwarz,ben.schwarz186@example.com,Urban Wellness Professionals,29,Cologne,8.2,24.88,5.5,DTC Online,1,0,0,0,9.4
187,Anna,Hoffmann,anna.hoffmann187@example.com,Fitness & Gym-Goers,20,Frankfurt,8.4,20.58,3.6,Gym & Office,0,0,1,1,8.4
